,author,published_at,comment,like
125,@BismikaStoreTV,2024-07-13T22:20:35Z,"belajar banyaklah dari grace natalie. gak sia sia loh menjadi ahli menjilat sekian taun, bisa jadi staf ahli..",4
126,@aspendikasuma9846,2024-07-13T23:16:46Z,"Ya, STAF AHLI MENJILAT",1
127,@Robinhoodd728,2024-07-14T00:15:05Z,Ahli modol,0
128,@iwansantoso8117,2024-07-14T00:41:24Z,Jilat apa ni ?,1
129,@muhadjir2703,2024-07-14T00:59:25Z,"Omongan Gress, pret preeet.",2
130,@SupriyadiYadi-gw4he,2024-07-14T03:22:11Z,Bentar lg jadi komisaris bumn ...bagian jilatin tangki truck pertamina,1
131,@manullangzealot,2024-07-13T22:16:01Z,"Cakep jg, tp syg penjilat ga punya integritas😊",0
132,@abassomantri5839,2024-07-13T22:15:49Z,Betul proyek jangka panjang. In Syaa Allah. Diteruskan oleh Pa Prabowo Gibran dan pemimoin seterusnya.,0
133,@anangSetyawan-cs9ko,2024-07-13T22:15:25Z,Selir udah gak sabar,1
134,@osasanto,2024-07-13T22:12:40Z,"catat semua penjilat kekuasaan. mereka berani membodohi rakyat bodoh 
rakyat indog emng ngk ketolong, sampe orng2 kek gini berkuasa  mampuslah negri bandit korup",0
135,@nanitrasimin8648,2024-07-13T21:42:51Z,Kasihan.... Tujuan masuk politik awalnya idealis tp ujung nya 😅😅😅 penjilat jg selesai!,0
136,@wulidatilhikmah6759,2024-07-13T21:34:25Z,ntar kalo Gua dapet rezeki gua bawa keluarga gua  WISATA IKN,4
137,@iwansantoso8117,2024-07-14T00:40:42Z,Bener ngab...ada panggung ala ala Nazi look a like,0
138,@santiirmawati869,2024-07-13T21:32:38Z,jadi kpn pindah nya😂😂,0
139,@luciedesiantari6793,2024-07-13T21:31:46Z,grace dan keluarga penghuni pertama 😊,0
140,@bennyadisuryo5037,2024-07-13T21:23:54Z,yailah,1
141,@AdamPaturusi,2024-07-13T21:22:57Z,Penjilat,0
142,@faril688,2024-07-13T21:06:57Z,"Selama Pemerintah Indonesia tidak berani menerapkan Pembuktian Terbalik terhadap Harta2nya Para Pejabat Negara.. Proyek Besar Pemerintah on the track ajang Korupsi, Pungli dan Markup pejabat2 yang terkait",15
143,@RahmahAisyahUnzhurna,2024-07-13T20:47:45Z,"selama kasus vina belum tuntas,,,,selama rakyat kecil terzolimi ,,,jangan berharap cita cita terlaksana,,",9
144,@yusdianata,2024-07-14T08:44:05Z,Apa hububungannya kasus vina dengan pembangunan IKN.mikir pakai otak bro dengan baik.,0
145,@gemby7069,2024-07-13T20:42:34Z,BENALU,0
146,@SriNurhayatiadhara,2024-07-13T20:41:59Z,Horee Kak Grace dan Keluarganya Kasih Contoh Tinggal domisili d IKN,3
147,@aligunawan3940,2024-07-13T20:41:07Z,Penjilat lu grace,0
148,@xinjiping2024,2024-07-13T20:27:23Z,"Apa susahnya sih ke Korea dulu, ke China dulu ke amerika dulu.. mereka itu bikin kota di ratain dulu tanahnya 😅😅😅 ini tanah naik turun langsung bangun jalan bangun tower 😅😅😅 
Mereka bukit dibelah dulu diaratain tanahnya berapa ratus ribu hektar ratain 😅😅😅..",0
149,@dariaselalu,2024-07-13T20:27:04Z,mendengarkan penjilat bisa merusak otak ... SKIP AJA ...,0
150,@wargasemarang6423,2024-07-13T20:25:11Z,jilat terus grace...,0
151,@baca_tanda,2024-07-13T20:01:24Z,"Ini contoh cara menjilati ""kotoran2"" rezim gorong2 supaya terlihat kinclong",0
152,@TonyWibowo-vz9oh,2024-07-13T19:46:12Z,Oh berarti IKN hanya nafsunya JKW dan bisa jadi mega proyek IKN mangkrak ! apa sih untungnya IKN bagi rakyat yg jumlahnya 260 jt ?,0
153,@danangkusmono-c2o,2024-07-13T19:37:29Z,cangkemuuuuuuu,1
154,@MubardiMurizam,2024-07-13T19:37:02Z,"ini arsitek ato penjilat... penjilat ko, tiba2 jd arsitek.",0
155,@lyzasusi8267,2024-07-13T19:30:22Z,Kok ngomongnya lemes. . nga meyakinkan.,6
156,@dahrani6365,2024-07-13T19:20:06Z,Ahhhhh kantong mu udah berisi makanya kamu kamu bela IKN,1
157,@mukhtarharis5755,2024-07-13T19:15:39Z,"iya iya iya, on the track, kita tau kok. bulan depan taksi terbang nya kan udah mulai melayang dari brunei dan malaysia ke ikan kan?🤣🤣🤣",0
158,@matadewa1348,2024-07-13T19:14:01Z,Sepong terus sampai muncrat dah itu es krim,0
159,@yansthea3591,2024-07-13T19:03:00Z,Endus endus jilatin,5
160,@yusdianata,2024-07-14T08:46:45Z,Apanya yang mau anda jilatin bro.bicara fakta dibilang pecundang.mikir pakai otak.kita butuh bukti bukan dari berita aja bro.,0
161,@fahmiferdiansyahtube,2024-07-13T19:01:41Z,"liat mukanya, muka penuh beban😅😅😅",0
162,@abdelsyarkhani3147,2024-07-13T18:54:26Z,Jilaaaat  terus  sampe cliiing..😂😂😂😂,30
163,@dy3285,2024-07-14T03:04:05Z,🤣🤣🤣 panas ya? Kasihan.. 🤣🤣🤣,1
164,@ferryprakoso7596,2024-07-14T04:41:46Z,"Sein kanan, belok kiri",0
165,@gemalacahayapurnamashanty1443,2024-07-14T06:57:30Z,Kerja Kau!!,0
166,@hendywibo1898,2024-08-11T11:31:18Z,Salah server bang.. Jgn nonton ikn... Bisa jantungan n sekarat,0
167,@ERVINS7180,2024-07-13T18:41:32Z,"Singapore pemberi utang terbesar ke indonesia.terus bertambah lalu diiringi banyaknya kasus korupsi.
Antara dua.kalimantan itu dijual atau singapore menginginkan kalimantan sebagai jaminan&IKN hanya pembungkus✅",7
168,@akhmadagung1686,2024-07-13T23:50:08Z,"Kalau sampai Kalimantan menjadi Singapura seperti di kartun The Simpson, BETAPA PARA PENGKHIANAT BANGSA ITU SANGAT SANGAT SANGAT TERKUTUK !!!",0
169,@PionPion-le3ls,2024-07-13T18:39:35Z,Kacung,0
170,@kinggeorgevi69,2024-07-13T18:31:37Z,Ciee dapat jabatan juga partai satu koma😂,0
171,@MoHaJr14,2024-07-13T18:29:10Z,Ketawain aja... 😂😂😂,0
172,@putri.indahsaribrhutajulu1890,2024-07-13T18:12:52Z,"Para pejabat di indonesia ketika kalah dalam persaingan untuk mendapat kedudukan
Bukan nya membatu untuk membangun
Malah yang kalah meruntuhkan yang ingin di bangun
Bagai mana indonesia mau maju
Kalo para kandidat dan para partai pengusung kalah politik langsung jadi musuh beneran hadeh..,
Jadi buka otak dan pola pikir woi para pejabat politik dan para pengusung partai politik
Ketika kalah nyalon biasakan untuk membangun demi kemajuan bersama
Bukan malah menyalah nyalahkan",0
173,@RakaSumerta,2024-07-14T06:49:56Z,"Hukum ditegakkan, korupsi merajalela bisa diberantas, mafia dan kejahatan lainnya bisa diberantas ...., baru rakyat akan bisa percaya, sebelum itu bisa terlaksana baik rasanya rakyat masih perlu waktu lebih lama utk menaikkan tingkat kepercayaannya",0
174,@SenoAdji-wu1rh,2024-07-13T18:10:28Z,Nice IKN ❤,2
175,@BangoSamparan,2024-07-13T18:10:18Z,Emang dia di bayar utk jilat majikan nya 😂😂,0
176,@baybar,2024-07-13T18:06:30Z,Grace ngabalin😂,0
177,@masnurulhadi7304,2024-07-13T18:00:07Z,Penjilat terupdate,0
178,@sufbar1078,2024-07-13T17:55:49Z,"Bayangin kalo negara indo bisa bersih dari orang2 yang suka koar2, gaduh, hanya karena mengharapkan kekuasaan seperti orang ini..diberi kekuasaan untuk ngomong yang sudah di set semua. Bahkan akan menjilat semua omongannya sendiri hanya untuk dapet kekuasaan.. menyedihkan..",29
179,@idasaja7908,2024-07-13T23:16:19Z,Aku tinggal di IKN n itu benar,1
180,@DragoEX,2024-07-13T23:39:02Z,​@@idasaja7908👍👍,0
181,@bungamatahari2074,2024-07-14T02:33:15Z,Didikan Mukidi,0
182,@dy3285,2024-07-14T03:01:28Z,🤣🤣🤣🤣 panas ya..? 🤣🤣🤣,1
183,@TeguhGobras-ui7fi,2024-07-13T17:55:30Z,"SAMPEYAN masih bau kencur gak usah melu2, sana berangkat nanti terlambat ke sekolah. Ini rembugannya orang2 dewasa bukan duniamu!",0
