comment,author,publishedAt,likeCount
"Aku sih setuju idenya Ahok, dana makan gratis di trf ke Ibu2 Rumah Tangga, anak2 lebih suka pilihan menu kesukaannya , Bekal makan siang anak, dicek oleh masing2 sekolahnya, apakah udah cukup memenuhi gizi yg disepakati ( sesuai draft ahli gizi ) , kalau terus melanggar ga ada gizinya, dicabut subsidinya. Ini lebih ekonomis, ga ada biaya distribusi, akomodasi , penbungkusan dan tak rawan dikorupsi.",@sendybg116,2024-12-02T04:34:55Z,15
"Dananya pasti lebih besar. Kalo misalkan 1 kluarga punya 1 anak, bisakah dgn hrga 10k bisa belanja makanan bergizi? Susu buah sayuran dan proteinnya.",@fernandoleonardo8114,2024-12-04T00:34:06Z,2
"@@fernandoleonardo8114 mepet bos, tapi biasanya ibu rumah tangga tersedia nasi, tinggal goreng telor, harga 2000/biji, susu bisa diganti ikan kembung dengan cara beli di warung terdekat plus sayurnya.",@sendybg116,2024-12-04T01:21:46Z,0
Solo dapat nasi sayur + telor,@adiaja9449,2024-12-02T04:32:33Z,0
"Klo di desa 10rb yg dpt mcm2 : nasi jagung, sayur keladi, tempe benguk, goreng wader, sambel keong.. 😊😊😊 tapi di desaaaa",@christinahandayani9024,2024-12-02T04:30:08Z,0
"Makin turun aj 10 ribu 😂😂😂
Drpd repot2
Ksh aj duitny lah
Biar emak2 belanja diwarung di lingkungan masing2
Gerakin ekonomi lg",@MitraBajuAnak,2024-12-02T04:16:47Z,0
"10 rebu, jadi warteg boys aja... Udhndapet nasi, oreg tempe plus usus",@akhmadfachroji5608,2024-12-02T03:41:01Z,0
"ga apalah, dari pada ga 😂 10 rb asal kenyang..",@dedihsupriadi9827,2024-12-02T03:35:01Z,0
Tetap optimis program ini akan berjalan gda guna nyinyir program pemerintah sedangkan kita gak bisa berbuat baik,@dianafriansyah844,2024-12-02T03:32:02Z,0
Di sekolah anak saya SMK.  nasi gandul 5000 disekolah gorengan 1000 es teh 2000 murah .anak 2 tentu senang.  Tayu Pati. Bersyukur pemerintah  memperhatikan.. Ada makan gratis.,@SukrisnoBtw,2024-12-02T03:28:10Z,1
"es teh 2000
es nya air mentah
teh nya esens bahan kimia
manis nya gula sintetis
semua nya bisa merusak kesehatan 😅😅😅 segitu kok bangga",@AstomoPancoroPutro,2024-12-02T13:23:03Z,0
"lha trus buat byar karyawanya bagaimanaa dapet apaa pak,, opo gak cuma sambatan tok..",@IbuBibit-,2024-12-02T03:24:03Z,0
Bersyukur pemerintah masih respon .makan gratis.   ❤❤❤,@SukrisnoBtw,2024-12-02T03:23:31Z,4
"Itu JANJI...ya para pendukung mau ga mau dukung...wkwkwkwkw


4 sehat 5 gemoy...",@erfanadiesthira3318,2024-12-03T04:33:05Z,2
😂😂😂😂😂.. 4 sehat 5 kibul... Oke gasss.. Oke gasss... Torang gass.. Gasss... Joget GEMOY dahhh... 😂😊😮😮😢,@yaminyamank,2024-12-03T05:25:01Z,1
naah kan.. 10 k dpt apaaa 😢😢😢😢,@IbuBibit-,2024-12-02T03:21:44Z,0
Pengelolah makanan gratis harus dari pemerintah baru bisa harga 10rb,@AntonP0973,2024-12-02T03:11:14Z,0
"Diwarung nasi siapa yang dapat 10ribu segera mendaptar harus bergizi ini ada proyek besar""",@op.chelseabr.sitorus5797,2024-12-02T02:15:37Z,0
yg penting terealisasi dan transparan soal anggaran .. Setelah ini berjalan mungkin anggaran 10k bisa ditambah ..,@wildkido,2024-12-02T02:08:48Z,0
udah berhasil kok uji coba nya. uji coba kan bagian dari pelaksanaan program. jadi program maksi gretong udah berhasil dilaksanakan,@AstomoPancoroPutro,2024-12-02T13:34:21Z,0
Makan gratis.... Omong kosong,@hasnawatiwati4673,2024-12-02T01:38:16Z,0
"udh enak banyak yg gak sarapan bahkan msh banyak yg gk ada uang saku ttp skolah😊
ke inget dulu sekolah gk pernh sarapan",@ronggolawechanel8023,2024-12-02T00:51:51Z,0
